Wilayah,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Kesakitan,Stunting (%),IKP,IKP Ranking,
aceh selatan - bakongan,4,4.32,7.42,84.11,0.39,6.84,8.52,100.00,7.78,10.61,60.69,237,
aceh selatan - kluet utara,6,0.25,11.69,25.04,0.70,23.00,8.33,100.00,15.28,11.57,79.53,51,
aceh selatan - kluet selatan,6,0.45,14.17,26.80,1.35,2.49,8.34,100.00,13.97,2.59,81.56,24,
aceh selatan - labuhan haji,6,0.97,4.26,34.06,0.03,3.32,9.93,100.00,9.97,2.57,82.36,16,
aceh selatan - meukek,5,0.87,12.26,55.13,1.80,10.94,8.38,100.00,26.04,6.25,74.38,143,
aceh selatan - samadua,5,1.46,3.29,50.88,0.36,42.50,9.95,100.00,17.76,28.54,69.75,204,
aceh selatan - sawang,4,0.90,6.45,53.17,0.00,61.41,8.47,95.64,24.47,7.43,68.96,208,
aceh selatan - tapaktuan,3,5.00,1.42,20.55,0.00,21.05,10.36,24.21,16.69,94.73,53.10,252,
aceh selatan - trumon,5,0.36,20.51,55.86,0.00,38.90,7.63,100.00,14.21,7.88,75.05,129,
aceh selatan - pasi raja,5,0.84,15.40,41.75,1.77,28.05,7.92,100.00,23.06,14.51,71.48,188,
aceh selatan - labuhan haji timur,5,0.63,12.58,71.02,0.24,26.34,9.20,100.00,13.33,2.57,77.73,87,
aceh selatan - labuhan haji barat,5,0.57,14.03,53.46,0.51,31.97,7.78,100.00,23.65,2.57,73.84,153,
aceh selatan - kluet tengah,4,0.29,13.18,69.79,4.59,59.67,6.39,100.00,36.11,33.57,64.23,230,
aceh selatan - kluet timur,5,0.26,13.48,66.03,0.17,14.83,8.35,100.00,24.08,91.80,73.88,152,
aceh selatan - bakongan timur,5,0.52,25.16,63.73,1.46,35.63,8.12,100.00,14.49,10.61,72.75,169,
aceh selatan - trumon timur,5,0.50,26.35,88.62,0.04,12.65,7.00,100.00,14.16,10.61,76.80,103,
aceh selatan - kota bahagia,4,0.40,32.36,61.14,7.87,36.76,7.24,100.00,15.51,33.28,67.18,218,
aceh selatan - trumon tengah,5,0.60,14.24,67.11,0.76,38.95,10.05,100.00,15.16,91.80,70.22,198,
aceh tenggara - lawe alas,6,0.16,6.48,67.11,1.63,38.20,8.35,100.00,11.83,12.29,79.27,58,
aceh tenggara - lawe sigala-gala,5,0.18,5.87,61.00,1.03,44.72,8.70,83.21,20.46,25.63,76.32,113,
aceh tenggara - bambel,6,0.26,4.09,46.44,1.94,38.64,8.36,29.49,18.75,18.22,80.35,43,
aceh tenggara - babussalam,5,0.98,1.67,31.00,0.06,54.54,9.13,5.92,14.95,6.14,77.89,81,
aceh tenggara - badar,6,0.56,4.02,57.79,0.00,21.75,8.24,14.65,15.54,12.12,84.03,10,
aceh tenggara - babul makmur,6,0.15,5.03,65.32,1.23,17.24,9.29,100.00,9.82,2.28,84.29,8,
aceh tenggara - darul hasanah,5,0.27,9.48,75.24,1.64,46.45,9.07,100.00,7.06,12.45,78.00,75,
aceh tenggara - lawe bulan,5,0.31,4.64,29.67,0.00,42.10,9.33,64.03,31.32,33.02,74.42,142,
aceh tenggara - bukit tusam,5,0.15,4.51,73.98,1.03,56.01,9.52,53.05,13.90,37.90,77.74,85,
aceh tenggara - semadam,6,0.15,5.99,68.15,1.66,26.10,9.15,87.71,18.83,2.57,80.59,38,
aceh tenggara - babul rahmah,5,0.12,4.39,60.13,0.49,67.68,9.12,100.00,12.81,46.12,73.90,151,
aceh tenggara - ketambe,5,0.22,5.49,60.43,2.33,23.20,8.29,100.00,21.84,45.16,76.66,106,
aceh tenggara - deleng pokhkisen,6,0.15,7.19,58.13,0.08,44.84,8.95,84.80,11.06,22.57,79.30,57,
aceh tenggara - lawe sumur,5,0.12,4.07,66.14,0.89,62.26,9.43,41.91,12.17,44.55,77.80,82,
aceh tenggara - tanoh alas,6,0.14,5.12,47.86,2.06,18.89,7.64,99.23,13.16,42.18,80.56,39,
aceh tenggara - leuser,5,0.12,8.22,79.27,14.58,43.06,7.07,100.00,8.70,30.84,72.17,182,
aceh timur - darul aman,5,0.29,10.39,30.71,1.57,37.34,9.04,100.00,18.06,38.73,74.80,138,
aceh timur - julok,5,0.37,9.52,58.04,1.05,41.02,8.99,100.00,11.63,28.93,76.38,111,
aceh timur - idi rayeuk,6,1.43,9.51,85.33,0.06,17.52,8.41,34.02,6.60,14.90,79.51,53,
aceh timur - birem bayeun,5,0.97,7.45,47.76,0.09,12.00,8.07,100.00,23.61,20.80,75.34,126,
aceh timur - serbajadi,5,0.09,22.76,70.41,0.35,40.36,8.05,100.00,12.35,27.11,75.32,127,
aceh timur - nurussalam,4,0.21,14.55,78.87,0.75,35.54,7.43,100.00,43.01,30.01,68.40,211,
aceh timur - peureulak,5,0.31,14.32,46.36,1.56,49.66,8.83,81.13,18.21,20.96,73.67,157,
aceh timur - rantau selamat,5,0.61,14.95,67.09,1.06,11.68,7.55,100.00,10.45,29.54,78.46,69,
aceh timur - simpang ulim,6,0.16,11.46,84.01,0.00,30.30,7.09,100.00,11.49,19.65,79.69,49,
aceh timur - rantau peureulak,5,0.21,11.32,41.97,2.05,54.68,8.05,100.00,12.64,22.25,74.34,145,
aceh timur - pante bidari,5,0.23,14.14,54.73,0.00,21.07,8.08,100.00,18.73,21.40,78.18,72,
aceh timur - madat,5,0.13,15.21,52.52,1.12,26.52,8.66,100.00,16.43,38.18,76.96,98,
aceh timur - indra makmu,6,0.69,9.45,19.10,0.90,12.70,8.92,100.00,11.94,1.63,80.45,42,
aceh timur - idi tunong,5,0.27,17.76,47.01,1.83,15.14,7.83,100.00,19.57,31.94,76.45,108,
aceh timur - banda alam,5,0.24,23.48,55.01,1.50,38.80,6.58,100.00,18.47,0.00,73.58,159,
aceh timur - peudawa,6,0.44,15.86,56.27,0.28,6.03,7.64,100.00,16.34,21.90,79.38,56,
aceh timur - peureulak timur,5,0.46,22.86,41.56,0.94,38.14,8.55,100.00,21.50,18.22,71.23,192,
